P_NAME;P_PERIOD;S_TEMPERATURE;P_DISTANCE;P_PERIASTRON;P_APASTRON;P_DISTANCE_EFF;P_FLUX;P_TEMP_EQUIL;P_TYPE;S_RADIUS_EST;S_TYPE_TEMP;S_LUMINOSITY;P_HABZONE_OPT;P_HABZONE_CON;P_TYPE_TEMP;P_HABITABLE;P_RADIUS_EST;P_MASS_EST;P_SEMI_MAJOR_AXIS_EST
CFBDSIR J145829+101343 b;10037500;58050000;26000000;26000000;26000000;26000001;1.5688472;50703749;Jovian;10209745;;10.605407;0;0;Cold;0;12413529;33371940;26000000
HATS-59 b;54160810;56700000;61628549;53235520;69004480;61247847;27037393;10298439;Jovian;10400000;G;10015844;0;0;Hot;0;12622460;25616937;61120000
HATS-59 c;14220000;56700000;25126250;22961680;27118320;25061615;16029501;16099496;Jovian;10400000;G;10015844;0;0;Cold;0;12310061;40364156;25040000
K2-154 c;79548600;40970000;67700000;67700000;67700000;67700002;21860307;55088250;Superterran;63000000;M;10019213;0;0;Hot;0;20738500;49534779;67700000
K2-154 b;36762600;40970000;40500000;40500000;40500000;40500001;61083450;71223908;Superterran;63000000;M;10019213;0;0;Hot;0;19953800;46394796;40500000
NGC 2682 YBP 1194 b;69590000;57800000;74776338;50089413;93023196;72386155;20535471;94764888;Jovian;10015222;G;10030467;0;0;Hot;0;12297015;10170496;71556305
WASP-5 b;16284279;57000000;26719277;25685400;27714600;26704826;14084900;15603272;Jovian;10300000;G;10033732;0;0;Hot;0;12185270;50216824;26700000
HAT-P-23 b;12128800;59050000;18670258;16516604;20599361;18586164;29328693;18705861;Jovian;96000000;G;10039468;0;0;Hot;0;12218900;42588952;18557982
K2-218 b;86798850;57570000;83994073;83994073;83994073;83994075;14230463;87993313;Neptunian;10100000;G;10039598;0;0;Hot;0;25670900;71159697;83994073
Kepler-1588 b;78493174;58170000;76235028;76235028;76235028;76235029;17300003;92396698;Subterran;99000000;G;10054380;0;0;Hot;0;76228000;36733988;76235028
Kepler-1297 b;16818900;58180000;27579497;27579497;27579497;27579497;13227605;15364386;Terran;99000000;G;10061295;0;0;Hot;0;97527000;88841861;27579497
Kepler-611 b;24370333;57610000;35551477;35551477;35551477;35551478;79654002;13534643;Superterran;10100000;G;10067529;0;0;Hot;0;16478700;33525722;35551477
HD 133131 B b;57690000;58050000;72942075;23985000;99015000;64787989;33595787;10026347;Jovian;99481282;G;10068860;0;0;Cold;0;13222642;79457001;61500000
Kepler-893 b;63385576;58200000;67014665;67014665;67014665;67014667;22434235;98599049;Neptunian;99000000;G;10075137;0;0;Hot;0;30267000;94118347;67014665
Kepler-1073 c;40258225;57920000;49516047;49516047;49516047;49516049;41125474;11472885;Superterran;10000000;G;10083304;0;0;Hot;0;16366600;33139434;49516047
Kepler-1073 b;86788859;57920000;82632751;82632751;82632751;82632753;14767209;88811564;Superterran;10000000;G;10083304;0;0;Hot;0;22980500;58965974;82632751
HD 9446 c;19290000;57930000;65517720;61476000;69324000;65429473;23633628;31567042;Jovian;10000000;G;10090269;0;0;Hot;0;13408631;57844697;65400000
HD 9446 b;30052000;57930000;19278000;15120000;22680000;18995766;28829927;58585778;Jovian;10000000;G;10090269;0;0;Hot;0;13984382;22247960;18900000
Kepler-10 b;83749100;56270000;17200000;17200000;17200000;17200000;34115453;19470751;Terran;10600000;G;10092716;0;0;Hot;0;14797200;46085060;17200000
Kepler-10 c;45294301;56270000;24092715;24092715;24092715;24092716;17387476;52024037;Neptunian;10600000;G;10092716;0;0;Hot;0;23541000;17162712;24092715
HD 31527 c;51205300;58980000;26651304;25564800;27695200;26635329;14255555;49489215;Neptunian;96524045;G;10101334;0;0;Hot;0;38472502;14143346;26630000
HD 31527 b;16553500;58980000;12602700;11286000;13794000;12555728;64560380;72080644;Neptunian;96524045;G;10101334;0;0;Hot;0;32202885;10456541;12540000
HD 158038 b;52100000;48600000;15630750;10650000;19350000;15162221;47005882;36904404;Jovian;45000000;K;10121823;0;0;Hot;0;13511426;48627684;15000000
WASP-37 b;35774690;58000000;44600000;44600000;44600000;44600001;50971909;12105358;Jovian;10000000;G;10139128;0;0;Hot;0;13003600;57209041;44600000
K2-181 b;68942560;56080000;70600000;70600000;70600000;70600002;20355361;96230915;Neptunian;10700000;G;10145845;0;0;Hot;0;28361300;84279728;70600000
HD 45184 b;58854000;58690000;64557780;59892000;68908000;64439509;24528840;10073127;Neptunian;97705387;G;10148039;0;0;Hot;0;35272601;12204595;64400000
HD 45184 c;13135400;58690000;11026950;10230000;11770000;11006748;84074322;77074536;Superterran;97705387;G;10148039;0;0;Hot;0;29099598;88038357;11000000
Kepler-1441 b;39441984;58020000;22671595;22671595;22671595;22671595;19753106;53709828;Terran;10000000;G;10153121;0;0;Hot;0;13115700;22754822;22671595
Kepler-573 b;22183297;57460000;15395910;15395910;15395910;15395910;42868745;65189868;Neptunian;10200000;G;10161352;0;0;Hot;0;27912900;82029943;15395910
Kepler-1629 b;38759581;57760000;48439843;48439843;48439843;48439844;43354550;11625284;Subterran;10100000;G;10172791;0;0;Hot;0;77349000;38707286;48439843
K2-223 c;45632700;58350000;54900000;54900000;54900000;54900001;33773634;10921678;Superterran;99000000;G;10179407;0;0;Hot;0;15694000;30860510;54900000
K2-223 b;50565000;58350000;12700000;12700000;12700000;12700000;63112449;22707727;Terran;99000000;G;10179407;0;0;Hot;0;88559000;62873346;12700000
HD 178911 B b;71484000;55880000;34205700;30260000;37740000;34051631;88684438;43864824;Jovian;10800000;G;10189708;0;0;Hot;0;12560882;25521589;34000000
Kepler-1573 b;26157554;58080000;37269030;37269030;37269030;37269031;73400479;13260797;Terran;10000000;G;10195184;0;0;Hot;0;11994700;18651456;37269030
Kepler-1258 b;98494017;58390000;19304616;19304616;19304616;19304617;27389909;18430731;Terran;99000000;G;10207348;0;0;Hot;0;86317000;57352358;19304616
Kepler-664 b;25255933;57540000;36407620;36407620;36407620;36407621;77087480;13424276;Neptunian;10200000;G;10218059;0;0;Hot;0;26567700;75431552;36407620
Kepler-1220 b;74269374;58420000;74481669;74481669;74481669;74481671;18437687;93879663;Superterran;99000000;G;10228342;0;0;Hot;0;15245600;29378483;74481669
HD 180053 b;21372000;51310000;84576546;77471700;91128300;84369287;14451836;49612364;Jovian;40600000;K;10236436;0;0;Hot;0;13298822;69731464;84300000
BD+15 2940 b;13748000;47960000;55721820;39886000;67914000;54365898;36514163;10992378;Jovian;14700000;K;10243303;0;0;Hot;0;13703559;35278908;53900000
HD 168746 b;64040000;55700000;70423500;62300000;77700000;70106300;21038262;96807052;Jovian;10900000;G;10246190;0;0;Hot;0;11126015;85813561;70000000
Kepler-1386 b;67397238;57330000;70275565;70275565;70275565;70275567;20791325;96742087;Terran;10300000;G;10268118;0;0;Hot;0;12443100;20809278;70275565
HD 98649 b;60229725;57900000;89995860;91980000;12220200;74197859;46633114;94158740;Jovian;10100000;G;10271779;0;0;Cold;0;12653927;21580521;65700000
Kepler-1394 b;39376637;64810000;57537358;57537358;57537358;57537360;31048259;19017535;Terran;25500000;F;10278674;0;0;Hot;0;13900400;25114160;57537358
HATS-63 b;30566527;56270000;40632324;34784640;45735360;40353656;64042796;12771574;Jovian;10700000;G;10284042;0;0;Hot;0;13530470;30511488;40260000
K2-60 b;30026500;55000000;45000000;45000000;45000000;45000001;50786750;12094350;Jovian;11200000;G;10284317;0;0;Hot;0;76564300;13539473;45000000
Kepler-1016 b;19545243;58210000;30484705;30484705;30484705;30484706;11069170;14695138;Superterran;10000000;G;10286770;0;0;Hot;0;21747400;53695230;30484705
Kepler-1016 c;10565514;58210000;43582793;43582793;43582793;43582794;54156293;38864863;Neptunian;10000000;G;10286770;0;0;Hot;0;36768800;13096490;43582793
Kepler-1427 b;96897238;57930000;19223137;19223137;19223137;19223138;27854604;18508412;Terran;10100000;G;10293084;0;0;Hot;0;10985800;13612778;19223137
Kepler-215 e;68161010;57390000;31400000;31400000;31400000;31400001;10458001;45814936;Superterran;10300000;G;10311171;0;0;Hot;0;17487600;37084594;31400000
Kepler-215 d;30864423;57390000;18500000;18500000;18500000;18500000;30127600;59687865;Superterran;10300000;G;10311171;0;0;Hot;0;23877300;62925768;18500000
Kepler-215 c;14667108;57390000;11300000;11300000;11300000;11300000;80751595;76371740;Superterran;10300000;G;10311171;0;0;Hot;0;17711800;37895405;11300000
Kepler-215 b;93606720;57390000;84000000;84000000;84000000;84000002;14613338;88579304;Superterran;10300000;G;10311171;0;0;Hot;0;16254500;32754986;84000000
Kepler-534 b;15959945;58840000;12606473;12606473;12606473;12606473;64899936;72311268;Superterran;98000000;G;10314103;0;0;Hot;0;22420000;56545043;12606473
Kepler-1419 b;42521589;57960000;23916063;23916063;23916063;23916064;18032898;52500240;Neptunian;10100000;G;10314422;0;0;Hot;0;28585500;85413990;23916063
Kepler-780 b;67737516;57690000;15141521;15141521;15141521;15141521;45035204;20870504;Terran;10200000;G;10325026;0;0;Hot;0;88559000;62873346;15141521
K2-12 b;82821200;58000000;80200000;80200000;80200000;80200002;16080318;90723243;Superterran;10100000;F;10342925;0;0;Hot;0;23316800;60438495;80200000
Kepler-11 g;11838070;56630000;47124250;39610000;53590000;46732045;48223242;37593190;Neptunian;10600000;G;10353487;0;0;Hot;0;33293700;25108412;46600000
Kepler-11 f;46688800;56630000;25002113;24675000;25325000;25000531;16566978;51397495;Superterran;10600000;G;10353487;0;0;Hot;0;24886200;19069680;25000000
Kepler-11 e;31999600;56630000;19501404;19266000;19734000;19500354;27230065;58196293;Neptunian;10600000;G;10353487;0;0;Hot;0;41925400;79457001;19500000
Kepler-11 d;22684500;56630000;15500124;15438000;15562000;15500032;43094982;65275511;Neptunian;10600000;G;10353487;0;0;Hot;0;31163800;73100441;15500000
Kepler-11 c;13024100;56630000;10703617;10421800;10978200;10700905;90461942;78560874;Neptunian;10600000;G;10353487;0;0;Hot;0;28697600;28604520;10700000
Kepler-11 b;10303900;56630000;91092138;86905000;95095000;91023053;12515379;85180635;Superterran;10600000;G;10353487;0;0;Hot;0;18048100;19069680;91000000
Kepler-1129 c;76536959;58310000;35271482;35271482;35271482;35271483;83255588;43276114;Neptunian;10000000;G;10357640;0;0;Hot;0;27352400;79252992;35271482
Kepler-1129 b;24339780;58310000;16433144;16433144;16433144;16433145;38354778;63401536;Neptunian;10000000;G;10357640;0;0;Hot;0;29594400;90594978;16433144
Kepler-51 d;13019400;60180000;50901629;50492800;51307200;50900412;40080342;36047283;Jovian;94000000;F;10383723;0;0;Hot;0;96966500;76278721;50900000
Kepler-51 c;85312000;60180000;38403763;37862400;38937600;38400945;70426029;41501351;Jovian;94000000;F;10383723;0;0;Hot;0;90016300;41317640;38400000
Kepler-51 b;45154000;60180000;25160112;24134400;26145600;25145031;16442591;51286977;Jovian;94000000;F;10383723;0;0;Hot;0;70959300;22247960;25140000
Kepler-622 b;14282267;42010000;99258486;99258486;99258486;99258488;10539591;45904033;Superterran;61000000;K;10383865;0;0;Hot;0;21299000;51829123;99258486
Kepler-926 b;52068860;58060000;27373820;27373820;27373820;27373821;13860174;49157194;Superterran;10100000;G;10385790;0;0;Hot;0;23092600;59455152;27373820
Kepler-1068 b;16923441;58060000;12940244;12940244;12940244;12940245;62023258;71496298;Neptunian;10100000;G;10385790;0;0;Hot;0;36320400;12826485;12940244
Kepler-588 b;42216254;58350000;51278637;51278637;51278637;51278638;39498368;11357682;Neptunian;10000000;G;10386090;0;0;Hot;0;26343500;74354000;51278637
Kepler-98 b;15416800;55390000;26024602;26024602;26024602;26024603;15342349;15944756;Superterran;11100000;G;10391065;0;0;Hot;0;19953800;34961080;26024602
HAT-P-55 b;35852467;58080000;46484769;39640440;52439560;46151906;49545448;11975938;Jovian;10100000;G;10400107;0;0;Hot;0;13250220;18497590;46040000
Kepler-603 c;12790758;58080000;49836502;49836502;49836502;49836504;41873833;36444382;Jovian;10100000;G;10400107;0;0;Hot;0;65018000;34470737;49836502
Kepler-657 b;24543504;58080000;16579614;16579614;16579614;16579614;37834589;63185462;Neptunian;10100000;G;10400107;0;0;Hot;0;35199400;12161625;16579614
Kepler-603 b;21053586;58080000;14968125;14968125;14968125;14968126;46419772;66499849;Neptunian;10100000;G;10400107;0;0;Hot;0;26455600;74891982;14968125
Kepler-603 d;62171292;58080000;66375826;66375826;66375826;66375828;23605757;99861801;Terran;10100000;G;10400107;0;0;Hot;0;13227800;23086002;66375826
Kepler-1099 b;21684526;58370000;32888946;32888946;32888946;32888947;96149605;14186713;Neptunian;10000000;G;10400337;0;0;Hot;0;28249200;83714933;32888946
HD 150706 b;58940000;59610000;71837400;41540000;92460000;68270897;25108606;98526717;Jovian;96000000;G;10425757;0;0;Cold;0;13175798;86131389;67000000
